holiday_id,destination,description,price
1,Paris,Explore the Eiffel Tower and the Louvre Museum.,1200.00
2,Rome,Wander through the Colosseum and the Roman Forum.,1000.00
3,Barcelona,Discover the Sagrada Familia and Park Güell.,800.00
4,Amsterdam,Cruise the canals and visit the Anne Frank House.,900.00
5,Lisbon,Ride the iconic Tram 28 and savour pastel de nata.,700.00
6,Berlin,Experience history at the Brandenburg Gate and the Reichstag Building.,1100.00
7,Vienna,Marvel at the Schönbrunn Palace and enjoy a classical concert.,1300.00
8,Prague,Stroll across the Charles Bridge and explore Prague Castle.,600.00
9,Budapest,Relax in the thermal baths and admire the Hungarian Parliament Building.,1000.00
10,Athens,Walk in the footsteps of Socrates at the Acropolis.,800.00
11,Florence,Admire Michelangelo's David and climb the Duomo.,1200.00
12,Venice,Take a gondola ride and explore Doge's Palace.,1400.00
13,Madrid,Visit the Prado Museum and enjoy tapas in the Plaza Mayor.,900.00
14,Dublin,Experience the lively pub scene and Trinity College Library.,700.00
15,Copenhagen,Cycle through the colourful streets of Nyhavn.,1100.00
16,Stockholm,Explore the Vasa Museum and wander through Gamla Stan.,1300.00
17,Oslo,Hike in the scenic fjords and visit the Viking Ship Museum.,1000.00
18,Helsinki,Discover the unique design of the Temppeliaukio Church.,800.00
19,Edinburgh,Climb Arthur's Seat and explore Edinburgh Castle.,900.00
20,London,Visit Buckingham Palace and see a show in the West End.,1500.00
21,Gothenburg,Explore the Gothenburg archipelago and visit the Liseberg amusement park.,850.00
22,Seville,Experience the passion of flamenco and visit the Alcázar Palace.,750.00
23,Cologne,Marvel at the Cologne Cathedral and explore the Chocolate Museum.,950.00
24,Hamburg,Visit the Miniatur Wunderland and enjoy the nightlife on the Reeperbahn.,1050.00
25,Bologna,Indulge in the culinary delights of Emilia-Romagna and see the Two Towers.,800.00
26,Turin,Discover the history of the House of Savoy and visit the Egyptian Museum.,900.00
27,Cork,Explore the Blarney Castle and kiss the Blarney Stone.,750.00
28,Liverpool,Visit the Beatles Story Museum and enjoy the vibrant music scene.,850.00
29,Krakow,Wander through the Main Market Square and explore the Wawel Castle.,650.00
30,Rhodes,Relax on the beaches and explore the medieval Old Town.,700.00
31,Lyon,Indulge in the gastronomy of Lyon and visit the Notre-Dame de Fourvière basilica.,900.00
32,Zurich,Explore the Swiss National Museum and enjoy the scenic beauty of Lake Zurich.,1100.00
33,Porto,Visit the Ribeira district and enjoy a Port wine tasting.,800.00
34,Valencia,See the City of Arts and Sciences and relax on the beaches.,750.00
35,Salzburg,Explore the Hohensalzburg Fortress and visit Mozart's birthplace.,950.00
36,Bergen,Hike in the mountains and see the Bryggen Hanseatic Wharf.,1050.00
37,Ljubljana,Stroll along the Ljubljanica River and visit the Ljubljana Castle.,800.00
38,Riga,Explore the Art Nouveau architecture and visit the House of the Blackheads.,700.00
39,Tallinn,Wander through the medieval Old Town and see the Alexander Nevsky Cathedral.,850.00
40,Vilnius,Visit the Gediminas Tower and explore the Palace of the Grand Dukes of Lithuania.,950.00
41,Bratislava,See the Bratislava Castle and explore the Old Town.,700.00
42,Luxembourg City,Visit the Grand Ducal Palace and explore the Bock Casemates.,850.00
43,The Hague,See the International Court of Justice and visit the Mauritshuis museum.,950.00
44,Antwerp,Marvel at the Grote Markt and see the Rubens House.,800.00
45,Ghent,Explore the Gravensteen castle and visit the Saint Bavo Cathedral.,750.00
46,Bruges,Take a canal tour and see the Markt square.,900.00
47,Innsbruck,Visit the Golden Roof and enjoy the scenic views of the Alps.,1000.00
48,Granada,Explore the Alhambra Palace and the Generalife gardens.,850.00
49,Malaga,Relax on the beaches and visit the Picasso Museum.,750.00
50,San Sebastian,Enjoy the pintxos and explore the Old Town.,900.00
51,Bilbao,See the Guggenheim Museum Bilbao and explore the Casco Viejo.,1000.00
52,Zaragoza,Visit the Aljafería Palace and see the Basilica del Pilar.,800.00
53,Santiago de Compostela,Walk the Camino de Santiago and see the Cathedral.,750.00
54,Toledo,Explore the Alcázar of Toledo and visit the Cathedral.,900.00
55,Segovia,See the Aqueduct of Segovia and visit the Alcázar.,850.00
56,Avila,Walk the Walls of Avila and visit the Cathedral.,750.00
57,Salamanca,Explore the Plaza Mayor and see the University of Salamanca.,900.00
58,Valladolid,Visit the National Sculpture Museum and see the Plaza Mayor.,850.00
59,Burgos,See the Burgos Cathedral and explore the Museum of Human Evolution.,750.00
60,Leon,Visit the León Cathedral and explore the Barrio Húmedo.,900.00
61,Oviedo,See the Cathedral of San Salvador and explore the old town.,850.00
62,Santander,Relax on the beaches and visit the Magdalena Palace.,750.00
63,Gijon,Explore the old town and visit the Laboral City of Culture.,900.00
64,Zaragoza,See the Aljafería Palace and the Basilica del Pilar.,800.00
65,Cordoba,Visit the Mezquita-Cathedral and explore the Alcázar de los Reyes Cristianos.,750.00
66,Girona,Wander through the Jewish Quarter and see the Girona Cathedral.,900.00
67,Tarragona,Explore the Roman ruins and relax on the beaches.,850.00
68,Lleida,Visit the Seu Vella cathedral and explore the old town.,750.00
69,Palma de Mallorca,See the Cathedral of Palma and relax on the beaches.,900.00
70,Ibiza,Enjoy the nightlife and relax on the beaches.,850.00
71,Menorca,Explore the prehistoric monuments and relax on the beaches.,750.00
72,Formentera,Enjoy the laid-back atmosphere and relax on the beaches.,900.00
73,Valencia,See the City of Arts and Sciences and the Oceanogràfic aquarium.,850.00
74,Alicante,Relax on the beaches and visit the Santa Bárbara Castle.,750.00
75,Murcia,Explore the Cathedral of Murcia and the Salzillo Museum.,900.00
