holiday_id;destination;description;price
1;London;Explore Buckingham Palace and the Tower of London.;300.00
2;Edinburgh;Visit Edinburgh Castle and climb Arthur's Seat.;280.00
3;Manchester;Discover the vibrant music scene and the Museum of Science and Industry.;200.00
4;Liverpool;Explore the Beatles Story Museum and the Albert Dock.;220.00
5;Glasgow;Visit the Kelvingrove Art Gallery and Museum and the Glasgow Cathedral.;180.00
6;Birmingham;Discover the Jewellery Quarter and Cadbury World.;210.00
7;Leeds;Explore the Royal Armouries Museum and the Leeds Art Gallery.;190.00
8;Bristol;Visit the Clifton Suspension Bridge and the SS Great Britain.;230.00
9;Sheffield;Discover the Millennium Gallery and the Winter Garden.;200.00
10;Newcastle upon Tyne;Explore the Quayside and the Baltic Centre for Contemporary Art.;190.00
11;Bath;Relax in the Roman Baths and visit the Bath Abbey.;250.00
12;Oxford;Explore the historic colleges and the Bodleian Library.;230.00
13;Cambridge;Visit the colleges and punt on the River Cam.;210.00
14;York;See the York Minster and walk the historic city walls.;180.00
15;Chester;Explore the Roman Amphitheatre and the Chester Zoo.;200.00
16;Canterbury;Visit the Canterbury Cathedral and the Westgate Gardens.;240.00
17;Durham;See the Durham Cathedral and the Durham Castle.;210.00
18;Salisbury;Visit the Salisbury Cathedral and the Stonehenge.;260.00
19;    Stonehenge;Explore the prehistoric monument and the surrounding countryside.;230.00
20;Lake District;Hike in the scenic mountains and visit the charming villages.;200.00
21;Peak District;Explore the national park and visit the Chatsworth House.;190.00
22;Cornwall;Relax on the beaches and visit the Eden Project.;240.00
23;Devon;Explore the Jurassic Coast and visit the Exeter Cathedral.;210.00
24;Dorset;See the Durdle Door and visit the Corfe Castle.;180.00
25;  Brighton;Enjoy the pier and the Royal Pavilion.;200.00
26;Bournemouth   ;Relax on the beaches and visit the Bournemouth Gardens.;220.00
27;Southampton;Explore the SeaCity Museum and the Tudor House and Garden.;210.00
28;Portsmouth;Visit the Historic Dockyard and the Spinnaker Tower.;190.00
29;Plymouth;    See the Plymouth Hoe and the National Marine Aquarium.;200.00
30;Nottingham;Explore the Nottingham Castle and the City of Caves.;230.00
31;Leicester;Visit the King Richard III Visitor Centre and the National Space Centre.;210.00
32;Coventry;See the Coventry Cathedral and the Herbert Art Gallery and Museum.;190.00
33;Stoke-on-Trent;Discover the World of Wedgwood and the Gladstone Pottery Museum.;200.00
34;Derby;Explore the Derby Museum and Art Gallery and the Silk Mill.;220.00
35;Norwich;Visit the Norwich Cathedral and the Sainsbury Centre for Visual Arts.;210.00
36;Ipswich;See the Christchurch Mansion and the Ipswich Waterfront.;190.00
37;Colchester;Explore the Colchester Castle and the Colchester Zoo.;200.00
38;Lincoln;Visit the Lincoln Cathedral and the Lincoln Castle.;230.00
39;Stratford-upon-Avon;See Shakespeare's Birthplace and the Royal Shakespeare Theatre.;220.00
40;Warwick;Explore the Warwick Castle and the Lord Leycester Hospital.;190.00
41;Cardiff;Visit the Cardiff Castle and the National Museum Cardiff.;210.00
42;Swansea;Explore the Gower Peninsula and the National Waterfront Museum.;230.00
43;Belfast;See the Titanic Belfast and the Botanic Gardens.;220.00
44;  Loch Ness  ;     Search for Nessie and visit the Urquhart Castle.;180.00
45;Isle of Skye;Explore the Fairy Pools and the Old Man of Storr.;200.00
46;Scottish Highlands;Hike in the Cairngorms National Park and visit the Eilean Donan Castle.;240.00
47;Channel Islands;Relax on the beaches and explore the historical sites.;220.00
48;Isle of Man;Visit the Laxey Wheel and the Peel Castle.;190.00
49;Giant's Causeway;See the unique rock formations and explore the Causeway Coast.;210.00
50;Hadrian's Wall;Walk along the historic wall and visit the Roman forts.;240.00
